incident_id,year,stage,reason
884,2024,keyword-triage,out-of-scope-type
887,2024,keyword-triage,out-of-scope-type
888,2025,keyword-triage,out-of-scope-type
891,2025,keyword-triage,out-of-scope-type
893,2025,keyword-triage,out-of-scope-type
895,2025,keyword-triage,out-of-scope-type
896,2025,keyword-triage,out-of-scope-type
901,2025,keyword-triage,out-of-scope-type
902,2025,keyword-triage,out-of-scope-type
905,2024,keyword-triage,out-of-scope-type
907,2024,keyword-triage,out-of-scope-type
909,2024,keyword-triage,out-of-scope-type
910,2025,keyword-triage,out-of-scope-type
912,2024,keyword-triage,out-of-scope-type
913,2025,keyword-triage,out-of-scope-type
914,2024,keyword-triage,out-of-scope-type
917,2025,keyword-triage,out-of-scope-type
918,2025,keyword-triage,out-of-scope-type
919,2024,keyword-triage,out-of-scope-type
920,2025,keyword-triage,out-of-scope-type
921,2025,keyword-triage,out-of-scope-type
922,2025,keyword-triage,out-of-scope-type
923,2025,keyword-triage,out-of-scope-type
924,2025,keyword-triage,out-of-scope-type
927,2025,keyword-triage,out-of-scope-type
928,2024,keyword-triage,out-of-scope-type
929,2024,keyword-triage,out-of-scope-type
930,2025,keyword-triage,out-of-scope-type
931,2025,keyword-triage,out-of-scope-type
933,2025,keyword-triage,out-of-scope-type
935,2025,keyword-triage,out-of-scope-type
936,2024,keyword-triage,out-of-scope-type
937,2025,keyword-triage,out-of-scope-type
940,2025,keyword-triage,out-of-scope-type
941,2025,keyword-triage,out-of-scope-type
942,2025,keyword-triage,out-of-scope-type
943,2025,keyword-triage,out-of-scope-type
944,2025,keyword-triage,out-of-scope-type
945,2025,keyword-triage,out-of-scope-type
947,2024,keyword-triage,out-of-scope-type
949,2025,keyword-triage,out-of-scope-type
953,2024,keyword-triage,out-of-scope-type
955,2024,keyword-triage,out-of-scope-type
958,2025,keyword-triage,out-of-scope-type
959,2025,keyword-triage,out-of-scope-type
962,2025,keyword-triage,out-of-scope-type
965,2025,keyword-triage,out-of-scope-type
966,2024,keyword-triage,out-of-scope-type
969,2024,keyword-triage,out-of-scope-type
970,2025,keyword-triage,out-of-scope-type
972,2024,keyword-triage,out-of-scope-type
973,2025,keyword-triage,out-of-scope-type
974,2025,keyword-triage,out-of-scope-type
978,2025,keyword-triage,out-of-scope-type
980,2025,keyword-triage,out-of-scope-type
982,2025,keyword-triage,out-of-scope-type
983,2024,keyword-triage,out-of-scope-type
984,2025,keyword-triage,out-of-scope-type
985,2023,keyword-triage,out-of-scope-type
986,2024,keyword-triage,out-of-scope-type
987,2023,keyword-triage,out-of-scope-type
988,2024,keyword-triage,out-of-scope-type
989,2025,keyword-triage,out-of-scope-type
990,2024,keyword-triage,out-of-scope-type
992,2023,keyword-triage,out-of-scope-type
1002,2025,keyword-triage,out-of-scope-type
1004,2024,keyword-triage,out-of-scope-type
1005,2025,keyword-triage,out-of-scope-type
1006,2025,keyword-triage,out-of-scope-type
1007,2025,keyword-triage,out-of-scope-type
1008,2025,keyword-triage,out-of-scope-type
1010,2025,keyword-triage,out-of-scope-type
1011,2025,keyword-triage,out-of-scope-type
1012,2025,keyword-triage,out-of-scope-type
1013,2025,keyword-triage,out-of-scope-type
1014,2024,keyword-triage,out-of-scope-type
1017,2025,keyword-triage,out-of-scope-type
1018,2025,keyword-triage,out-of-scope-type
1019,2025,keyword-triage,out-of-scope-type
1021,2025,keyword-triage,out-of-scope-type
1022,2023,keyword-triage,out-of-scope-type
1023,2024,keyword-triage,out-of-scope-type
1024,2024,keyword-triage,out-of-scope-type
1025,2024,keyword-triage,out-of-scope-type
1029,2025,keyword-triage,out-of-scope-type
1030,2025,keyword-triage,out-of-scope-type
1032,2023,keyword-triage,out-of-scope-type
1033,2023,keyword-triage,out-of-scope-type
1034,2024,keyword-triage,out-of-scope-type
1035,2024,keyword-triage,out-of-scope-type
1036,2025,keyword-triage,out-of-scope-type
1042,2025,keyword-triage,out-of-scope-type
1045,2025,keyword-triage,out-of-scope-type
1048,2025,keyword-triage,out-of-scope-type
1051,2025,keyword-triage,out-of-scope-type
1052,2025,keyword-triage,out-of-scope-type
1053,2024,keyword-triage,out-of-scope-type
1055,2025,keyword-triage,out-of-scope-type
1056,2025,keyword-triage,out-of-scope-type
1058,2024,keyword-triage,out-of-scope-type
1059,2025,keyword-triage,out-of-scope-type
1060,2025,keyword-triage,out-of-scope-type
1061,2025,keyword-triage,out-of-scope-type
1062,2025,keyword-triage,out-of-scope-type
1063,2025,keyword-triage,out-of-scope-type
1064,2024,keyword-triage,out-of-scope-type
1065,2024,keyword-triage,out-of-scope-type
1066,2025,keyword-triage,out-of-scope-type
1067,2025,keyword-triage,out-of-scope-type
1075,2025,keyword-triage,out-of-scope-type
1076,2025,keyword-triage,out-of-scope-type
1077,2025,keyword-triage,out-of-scope-type
1078,2025,keyword-triage,out-of-scope-type
1079,2025,keyword-triage,out-of-scope-type
1085,2025,keyword-triage,out-of-scope-type
1086,2025,keyword-triage,out-of-scope-type
1087,2023,keyword-triage,out-of-scope-type
1088,2023,keyword-triage,out-of-scope-type
1089,2024,keyword-triage,out-of-scope-type
1091,2023,keyword-triage,out-of-scope-type
1092,2025,keyword-triage,out-of-scope-type
1093,2025,keyword-triage,out-of-scope-type
1094,2025,keyword-triage,out-of-scope-type
1095,2025,keyword-triage,out-of-scope-type
1096,2025,keyword-triage,out-of-scope-type
1098,2025,keyword-triage,out-of-scope-type
1100,2024,keyword-triage,out-of-scope-type
1102,2025,keyword-triage,out-of-scope-type
